feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3
LPC 18:3	5,47	7,66	7,18	5,29	6,01	4,87	4,04	3,57	6,43	4,13	6,39	4,87	7,23	7,76	5,84	3,91	5,59	6,03	5,75	4,47
LPC 20:3	2,75	2,87	3,83	3,12	3,21	1,65	2,03	3,27	2,50	2,38	1,87	2,82	3,15	3,29	4,73	1,76	3,66	2,69	4,57	2,40
LPC 20:4	7,45	5,72	8,23	11,33	7,47	4,03	4,49	6,89	4,78	6,07	7,15	6,61	6,16	7,54	8,09	5,17	10,37	10,62	9,57	4,67
LPC 20:5	0,76	0,36	0,91	0,99	0,60	0,93	1,16	0,74	2,18	0,70	1,26	0,74	1,05	1,90	0,94	0,50	1,20	1,25	1,08	0,86
LPC 22:5	0,43	0,47	0,66	0,77	0,76	0,40	0,36	0,73	0,36	0,76	0,42	0,56	0,47	0,52	0,42	0,24	1,06	0,69	0,69	0,52
LPC 22:6	2,07	1,13	2,10	3,21	2,01	1,86	1,15	1,94	1,10	1,45	1,93	1,71	1,39	1,54	0,79	1,04	3,20	1,72	1,66	1,03
LPC O-16:0	0,88	1,38	1,04	1,08	1,31	0,88	0,80	0,79	0,82	0,60	2,14	1,14	1,18	1,08	1,26	1,11	2,01	0,82	0,64	0,81
LPC 16:0/16:1	1,10	0,93	0,99	0,98	1,09	0,85	0,50	0,84	0,62	0,43	1,01	1,08	0,91	0,82	1,21	0,95	1,69	1,00	0,60	0,65
LPC 16:1/16:2	1,30	1,68	1,49	1,28	1,74	1,17	0,80	1,46	0,75	0,81	1,64	1,52	1,45	1,94	2,28	0,94	1,63	1,33	1,48	1,39
LPC 18:0/18:1	0,67	0,82	0,80	0,66	0,83	0,68	0,58	0,62	0,51	0,49	1,15	0,78	0,81	0,59	0,70	0,75	1,41	0,73	0,40	0,56
LPC 18:1/18:2	0,35	0,17	0,49	0,36	0,37	0,34	0,18	0,34	0,20	0,18	0,43	0,52	0,27	0,46	0,31	0,25	0,56	0,37	0,36	0,25
PC 30:0	3,40	9,64	3,74	4,60	6,74	5,54	2,32	5,55	1,98	2,34	4,63	3,54	3,22	4,29	15,36	3,51	13,97	10,49	12,28	3,71
PC 32:0	33,09	69,94	34,73	40,42	37,96	42,55	30,69	38,56	33,09	28,83	93,12	31,05	31,78	48,79	59,28	29,82	64,66	51,13	79,10	36,41
PC 32:1	21,54	74,34	27,78	19,82	54,03	18,71	14,87	51,65	19,72	16,44	21,75	25,47	31,86	37,01	65,66	15,41	53,41	34,07	81,13	33,73
PC 32:2	3,14	5,92	3,62	2,71	4,55	4,16	1,19	3,97	1,99	1,45	1,82	2,77	2,55	3,94	8,20	1,61	4,56	3,97	5,48	3,62
PC 34:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3,29	0,00	0,00	1,91	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
PC 34:1	607,33	1412,28	642,75	537,47	1056,55	638,34	507,55	1109,93	644,74	545,73	576,67	624,86	539,04	972,44	1169,04	413,07	847,38	695,76	1606,15	885,08
