feature	BS-082D10	BS-364D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-663D10	KT-695D10	KT-705D10	KT-723D10
HexCer 42:1;O2	0.00	1.35	0.00	0.00	1.78	0.00	0.00	0.00	1.38	0.00	0.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94
HexCer 42:2;O2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LPC 13:0	0.00	0.00	0.00	0.00	10.74	10.68	0.00	13.48	0.00	0.00	0.00	0.00	9.96	0.00	0.00	13.96	0.00	0.00	8.67	59.17
LPC 14:0	0.00	27.27	31.26	19.63	0.00	10.45	15.47	22.37	15.92	20.11	0.00	21.54	13.40	13.51	0.00	17.96	14.50	12.69	23.65	11.01
LPC 15:0	0.00	12.26	14.51	9.68	10.83	0.00	0.00	7.78	0.00	12.46	0.00	22.36	0.00	12.94	0.00	15.22	16.28	9.99	11.99	0.00
LPC 16:0	1229.70	2876.64	3046.04	2399.20	2188.28	914.27	2614.76	2535.84	1946.55	2595.80	1684.35	3566.29	1834.39	2306.54	2396.46	2650.78	2973.66	2895.04	2071.86	1838.56
LPC 16:1	31.12	48.95	95.71	41.38	35.79	0.00	47.52	36.74	59.42	42.88	48.86	64.82	37.35	55.63	67.19	50.05	55.62	78.54	50.82	33.60
LPC 17:0	0.00	15.67	21.21	17.85	24.20	0.00	26.06	18.62	0.00	26.10	22.79	37.28	14.03	19.70	20.21	32.63	35.03	32.40	29.30	11.83
LPC 18:0	444.89	934.39	1016.03	832.62	842.41	419.14	846.11	958.69	771.22	1013.97	723.27	971.28	755.60	705.44	1019.33	964.47	975.09	1037.01	928.82	625.20
LPC 18:1	298.21	622.37	661.68	535.16	588.64	163.98	479.58	412.58	502.08	433.56	616.53	638.31	605.20	517.34	578.12	539.30	573.75	645.56	500.09	576.89
LPC 18:2	161.84	383.86	909.30	518.40	414.63	90.64	598.09	470.79	684.65	250.82	321.60	607.33	659.09	463.89	263.49	605.61	412.15	595.74	464.13	577.21
LPC 18:3	69.24	155.99	149.55	112.91	149.05	67.93	113.84	111.57	116.66	108.17	107.85	134.36	99.32	139.82	113.33	125.21	126.87	124.20	104.56	71.69
LPC 20:3	41.33	77.18	145.92	77.45	104.75	33.84	85.53	81.45	89.27	64.40	40.85	148.30	103.13	75.78	60.65	104.24	106.35	118.26	66.42	86.95
LPC 20:4	71.19	106.65	231.39	139.50	151.70	66.62	159.71	170.01	150.66	192.87	149.37	214.67	154.08	144.27	163.49	162.60	157.64	216.98	141.49	263.42
LPC 20:5	0.00	0.00	21.37	0.00	10.29	0.00	0.00	11.86	0.00	0.00	0.00	0.00	11.81	0.00	0.00	0.00	0.00	9.86	11.20	10.50
LPC 22:5	0.00	0.00	14.27	7.94	9.83	9.97	20.34	11.11	10.00	9.10	0.00	12.05	5.90	0.00	0.00	0.00	13.45	16.18	5.63	25.26
LPC 22:6	12.76	24.54	45.70	40.27	41.23	21.05	46.59	51.86	21.41	35.45	27.94	35.84	36.55	19.81	18.47	27.43	29.01	53.32	30.11	75.11
LPC O-16:0	0.00	39.08	13.67	19.10	18.20	14.75	24.81	20.81	17.18	27.12	0.00	19.82	21.20	10.73	25.70	13.83	17.15	20.02	14.26	14.70
