feature	mean_ctrl	mean_exp	sd_ctrl	sd_exp	FC	log2FC	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_pval	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
54:3	0.45797375411680286	0.6886312206278439	0.22065392922175533	0.4427794769131582	1.5036477842619198	0.5884666684732854	t-test	1.5095850413215255	0.14850350021604844	0.8282633099386842	0.43790641390622065	0.35861869375813815	no	no	54	3	ns	ns		0.5884666684732854
54:4	0.07655013044796258	0.09912398565297549	0.13430456862373805	0.12187609899728544	1.2948898332754406	0.3728293614268663	t-test	1.775193724359448	0.09277735122929284	1.0325580306416053	0.4174980805318178	0.3793455168662618	no	no	54	4	ns	ns		0.3728293614268663
56:5	0.03391282825425671	0.09785593182738629	0.0651386220308215	0.10579568990283905	2.885513738156106	1.5288281998091695	t-test	1.4705143092124289	0.1586873967251159	0.7994575644240419	0.43944202170032093	0.35709841596359143	no	no	56	5	ns	ns		1.5288281998091695
56:6	0.1080588007187275	0.11131773968145273	0.08641036683153636	0.04535267802474312	1.0301589406975569	0.042866944462819336	t-test	0.880277513891825	0.3903109138966687	0.40858930478118854	0.5404304961646182	0.2672601519847192	no	no	56	6	ns	ns		0.042866944462819336
56:7	0.06577318781476824	0.07062511810027852	0.06067782039739395	0.05657982575545175	1.0737676011564832	0.10268178015819723	t-test	0.647116635907965	0.5257238045680319	0.2792423578522574	0.6471642374495824	0.18898549001666645	no	no	56	7	ns	ns		0.10268178015819723
56:8	0.028774334214192926	0.038411973471219746	0.029234470440519172	0.03018889114471007	1.3349387403818038	0.4167735389351675	t-test	0.9064076475354573	0.3766943869789794	0.4240108510529515	0.5395359200935717	0.2679796364692496	no	no	56	8	ns	ns		0.4167735389351675
58:11	0.0038548746044508005	0.006173587570493753	0.004449002599582974	0.006714957693156192	1.601501528315808	0.6794251748797431	t-test	0.663471937245275	0.5154366006857398	0.2878247458326972	0.6471642374495824	0.18898549001666645	no	no	58	11	ns	ns		0.6794251748797431
58:5	0.029695070341959222	0.043790658191877156	0.01629851708762524	0.027521722848532968	1.4746777053429245	0.5603996841624201	t-test	1.1360553486517722	0.2708334297375384	0.5672977304799253	0.4875001735275691	0.31202522537661914	no	no	58	5	ns	ns		0.5603996841624201
58:7	0.06328795650992428	0.0719937333208917	0.02592863409549632	0.03945976207891415	1.1375581910217352	0.18594034729040523	t-test	0.4311997674812957	0.6714430000632725	0.17299084942668294	0.779740258137994	0.1080500424936683	no	no	58	7	ns	ns		0.18594034729040523
58:8	0.04795615976898889	0.05937767064627191	0.027763523731759925	0.037569989579107864	1.238165669067372	0.30820436297803094	t-test	0.9361872939888626	0.36156832298669916	0.44180962508465665	0.5326476871294367	0.2735599544384487	no	no	58	8	ns	ns		0.30820436297803094
64:1	0.030196050117606017	0.02384016981796322	0.03033040064997282	0.0047821746503438735	0.7895128576456774	-0.3409653335382532	t-test	0.9343362326185454	0.3624963426297555	0.44069637084120356	0.5326476871294367	0.2735599544384487	no	no	64	1	ns	ns		-0.3409653335382532
68:1	0.08846777528833408	0.0599609756594607	0.05916235011032738	0.01471702921812459	0.6777719397151782	-0.561128185524512	t-test	-1.4275643570760221	0.17053679748924283	0.7681818968928219	0.4448433720501757	0.35179287582400415	no	no	68	1	ns	ns		-0.561128185524512
68:3	0.06696648388989404	0.045968681559070246	0.047654548599395864	0.015169525997488175	0.6864431113727237	-0.542787932186126	t-test	-1.388174762256598	0.1820268092304739	0.7398646436445486	0.4481029972066002	0.34862215123104434	no	no	68	3	ns	ns		-0.542787932186126
72:3	0.02417098923502609	0.01973536128118584	0.0241267827172976	0.004249925314413079	0.8164895978931388	-0.2924935889700533	t-test	1.2136451213036807	0.24056858261637978	0.6187610905757984	0.4831389258754788	0.31592797056173805	no	no	72	3	ns	ns		-0.2924935889700533
72:5	0.08117527178860304	0.05399438789720386	0.055575118047599265	0.014294890951724253	0.6651580796405124	-0.5882308465876034	t-test	-1.6224289353419559	0.12209543297648255	0.9133005806923608	0.43790641390622065	0.35861869375813815	no	no	72	5	ns	ns		-0.5882308465876034
72:6	0.2527770125103992	0.1651166256180679	0.16164083927579093	0.0535077017185198	0.6532106063690227	-0.6143798783420705	t-test	-1.8722791777962546	0.07750669917228431	1.1106607582960455	0.3986058814574622	0.399456297543015	no	no	72	6	ns	ns		-0.6143798783420705
76:5	0.02252942336981301	0.01300691735772831	0.02345993500696146	0.008426904621770034	0.5773302380724121	-0.7925313054074742	t-test	-0.23427813643612122	0.8174131520246366	0.08755837885127392	0.8917234385723307	0.049769817961874185	no	no	76	5	ns	ns		-0.7925313054074742
76:7	0.15637040144581216	0.09466555186626978	0.092620244053892	0.033408337682005185	0.6053930346854979	-0.7240560184706943	t-test	-2.407643983059358	0.026999703225856028	1.5686410094736587	0.3986058814574622	0.399456297543015	yes	no	76	7	*	ns	*	-0.7240560184706943
76:9	0.19548121910748076	0.12721442900205704	0.1095093393032197	0.04963763609962276	0.6507757092107717	-0.6197676927631832	t-test	-2.0269113117090614	0.05774652644261279	1.2384741342440575	0.3986058814574622	0.399456297543015	no	no	76	9	ns	ns		-0.6197676927631832
80:7	0.016898257645039924	0.008118707744930896	0.014817190037160002	0.00836707060704246	0.48044644101600303	-1.057552483008715	t-test	-1.1932053614638802	0.24827972579712104	0.6050587429260115	0.4831389258754788	0.31592797056173805	no	no	80	7	ns	ns		-1.057552483008715
