sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
yes	64:1	0.13109064719941918	0.03518889494386473	0.028908594903253322	0.07224915200358475	0.018129664644094077	0.008230542299820542	One-way ANOVA	17.83433612246527	3.77405504901348e-6	5.423191769431175	6.038488078421568e-6	5.219071786775251	yes	64	1	*	*	*	5.423191769431175
yes	68:1	0.33974526864561727	0.07514832246698919	0.0717874629981076	0.3600711593891174	0.020660310009308236	0.020010035583393045	One-way ANOVA	49.66617058515421	3.323933910517188e-11	10.478347619840706	7.038918869330515e-11	10.152494040451693	yes	68	1	*	*	*	10.478347619840706
yes	68:3	0.43362769949207414	0.08348777298422039	0.05264222646033935	0.19242555306331244	0.025772405201834794	0.02689072796027509	One-way ANOVA	119.93830132903898	6.752057513712582e-17	16.170563867066402	2.8596949469841525e-16	15.543680292013407	yes	68	3	*	*	*	16.170563867066402
yes	72:3	0.15740864677073904	0.033087322606246375	0.02318137029133564	0.13958623217289443	0.010456174278526917	0.008163630456137926	One-way ANOVA	72.18275695353766	1.692270349191685e-13	12.771530254900359	4.686287120838513e-13	12.32917110643991	yes	72	3	*	*	*	12.771530254900359
yes	72:5	0.3649114939256584	0.10740588750226569	0.0635849198279125	0.11336347450392104	0.03881527036405085	0.024433466159780072	One-way ANOVA	120.75805927321284	6.053418695964784e-17	16.21799928626283	2.724038413184153e-16	15.564786772487489	yes	72	5	*	*	*	16.21799928626283
yes	72:7	0.9437925909032353	0.02384630827189733	2.522306451606359e-4	0.24365225272291752	0.05278915077432286	4.244319732736202e-5	One-way ANOVA	174.58107681037754	1.4338122932121731e-19	18.843507700382315	9.384953191934225e-19	18.02756788910927	yes	72	7	*	*	*	18.843507700382315
yes	76:5	0.09572124827848164	0.0349675394712508	0.015660170049645795	0.02510580658017502	0.01587574566622014	0.011579986327394275	One-way ANOVA	24.581589262889548	1.6154005699866814e-7	6.791719768215848	2.704856768349792e-7	6.567855727364165	yes	76	5	*	*	*	6.791719768215848
yes	76:7	0.4966398780649757	0.2014125529120313	0.11578007673643265	0.1293753664409045	0.09392461268676988	0.04058783512112871	One-way ANOVA	81.36646087645727	2.8406208927796615e-14	13.546586723038768	8.522635735464208e-14	13.069426073267898	yes	76	7	*	*	*	13.546586723038768
yes	76:9	0.5767581488506205	0.2926692946730485	0.1504175162658567	0.18011121882225878	0.12339850386412274	0.0481800111607296	One-way ANOVA	55.40000878040939	7.460259090653932e-12	11.127246089459318	1.6276928925063122e-11	10.788427532905937	yes	76	9	*	*	*	11.127246089459318
yes	80:7	0.06208410301585021	0.026235393451428286	0.01051628034828493	0.019080872589288898	0.012671282935721277	0.011271505641575825	One-way ANOVA	25.074179345655683	1.3089904221634387e-7	6.883063531154963	2.243983580851609e-7	6.648980325121594	yes	80	7	*	*	*	6.883063531154963
yes	84:7	0.02635667214762117	0.005523004345831175	0.002028388566913775	0.015142790884371166	0.007787500293797571	0.0053339623672671544	One-way ANOVA	9.86633532993996	3.6797403333788375e-4	3.434182826913322	4.998892528363703e-4	3.3011262000828427	yes	84	7	*	*	*	3.434182826913322
