feature	severity	contrast	estimate	se	p_value	fdr_posthoc
TG 56:6	mild	D3 - D0	0.9229176649316432	0.23862348884960638	5.027830619641627e-4	0.0017671783361343943
DG 36:1	mild	D3 - D0	0.8013123498376153	0.20916615146498946	5.778467491408534e-4	0.0020072571285945436
TG 50:1	severe	D10 - D0	1.0517698726429663	0.2745309034405703	5.751933133455456e-4	0.0020072571285945436
PC 38:3	mild	D10 - D0	0.1782173243516347	0.04681501489552111	6.306683290959736e-4	0.0021654161126185454
PC 38:3;P/38:4;O	mild	D3 - D0	-0.12879042968277318	0.0338249736635332	6.291033042029603e-4	0.0021654161126185454
PC 32:2	mild	D60 - D0	0.9500206607274848	0.2507337638520374	6.729420804572062e-4	0.0022961495154308897
CAR 16:0	mild	D60 - D0	-0.7511174979885792	0.1983992759299607	6.803405971647081e-4	0.0022961495154308897
TG 50:0	mild	D3 - D0	0.9122432572873699	0.24089130861296212	6.775372502962895e-4	0.0022961495154308897
DG 32:1	severe	D10 - D0	1.0801299415752066	0.2868175017018306	7.28332232378559e-4	0.0024442335934060115
SM 41:1;O2	mild	D3 - D0	-0.1710353895469447	0.04544088732748164	7.36211562240241e-4	0.0024567958874758605
PC 38:3	severe	D60 - D0	0.18561474820141685	0.04937940305068556	7.451370555331405e-4	0.0024726894468529914
TG 54:2	severe	D60 - D0	-0.32603233094959433	0.0869294784839325	7.617630732810188e-4	0.0025138181418273616
FA 18:0	severe	D3 - D0	-0.16863242717783816	0.045095190283357796	8.03652540987243e-4	0.0026374011566100684
PC 36:2;P/36:3;O	mild	D60 - D0	-0.12418594750774972	0.03341636682149305	8.725634323217824e-4	0.002847816916478784
SM 38:2;O2	mild	D60 - D0	-0.2319582444444455	0.06268828209883497	9.239142600840911e-4	0.0029883093957084133
PI 36:2	mild	D60 - D0	1.1965084889578699	0.32340909875628193	9.256715973238183e-4	0.0029883093957084133
SM 34:2;O2	severe	D3 - D0	-0.09393183858197265	0.025464224386349626	9.620946497084226e-4	0.0030660639152206063
LPC 17:0	severe	D60 - D0	1.5970451696686052	0.43329041239560673	9.652423436805613e-4	0.0030660639152206063
Cer 40:1;O2	mild	D60 - D0	-0.8129236146487863	0.22025485715368717	9.550175610091305e-4	0.0030660639152206063
TG 50:0	mild	D60 - D0	0.8869156818783732	0.24089130861296218	9.858400097229048e-4	0.003114834924337263
CAR 18:1	mild	D3 - D0	-0.6878243217371529	0.18716638346951664	0.001010282962762954	0.0031751750258264266
TG 52:1	mild	D10 - D0	0.5483259557032882	0.14976172672180363	0.0010551433318644055	0.0032987112585655624
LPC 20:3	severe	D60 - D0	0.5685992502154851	0.15543021449566036	0.0010660600294132294	0.0033153908768139176
FA 16:1	severe	D10 - D0	-0.7075565164680082	0.1940643083143906	0.0011091753104666147	0.003431511116756089
TG 49:2	mild	D3 - D0	0.8183295776284109	0.22622523631387007	0.00123101543977433	0.0037887210944349842
DG 36:3	mild	D10 - D0	0.5450175310543915	0.15233034737891052	0.0014126675321194382	0.004325384093190445
SM 40:1;O2	mild	D3 - D0	-0.13348483813278364	0.037836649286420415	0.0016830024462441973	0.005126684374713093
LPC 18:1	mild	D10 - D0	0.10249444756522841	0.02908055349955792	0.0017026167950262572	0.005159971307375494
SM 36:1;O2	severe	D3 - D0	-0.1281750340150699	0.03639808698710035	0.0017204964175171478	0.00518768970561008
